invoice_id,job_id,issue_date,amount,status,paid_date
1,2,2024-12-22,266.37,Paid,2025-01-11
2,4,2024-12-22,4109.81,Paid,2025-01-14
3,7,2024-12-22,234.56,Paid,2025-01-09
4,8,2024-12-24,225.54,Paid,2025-01-02
5,9,2024-12-23,244.09,Paid,2025-01-04
6,10,2024-12-24,215.94,Paid,2024-12-25
7,11,2024-12-22,291.05,Outstanding,
8,12,2024-12-24,211.09,Paid,2024-12-31
9,14,2024-12-22,271.56,Paid,2025-01-06
10,15,2024-12-24,325.15,Outstanding,
11,17,2024-12-22,175.92,Outstanding,
12,18,2024-12-24,249.39,Outstanding,
13,19,2024-12-24,145.82,Paid,2025-01-20
14,20,2024-12-25,307.55,Overdue,
15,21,2024-12-25,273.09,Overdue,
16,22,2024-12-23,271.92,Paid,2025-01-14
17,23,2024-12-23,4382.33,Paid,2025-01-03
18,26,2024-12-25,296.11,Paid,2025-01-20
19,27,2024-12-24,217.72,Paid,2025-01-12
20,29,2024-12-24,334.73,Outstanding,
21,31,2024-12-25,202.25,Paid,2024-12-26
22,32,2024-12-23,253.65,Outstanding,
23,33,2024-12-23,246.9,Paid,2024-12-29
24,34,2024-12-25,4256.28,Paid,2025-01-05
25,35,2024-12-23,186.65,Paid,2024-12-29
26,36,2024-12-25,321.16,Paid,2025-01-17
27,38,2024-12-24,3603.15,Outstanding,
28,41,2024-12-24,362.55,Paid,2025-01-15
29,42,2024-12-23,4010.97,Paid,2025-01-02
30,44,2024-12-25,298.09,Paid,2025-01-20
31,45,2024-12-26,348.8,Paid,2025-01-12
32,46,2024-12-24,315.47,Outstanding,
33,47,2024-12-25,184.46,Paid,2025-01-17
34,48,2024-12-26,189.11,Paid,2025-01-12
35,49,2024-12-25,186.37,Paid,2024-12-29
36,50,2024-12-24,272.73,Paid,2025-01-02
37,52,2024-12-26,259.96,Outstanding,
38,53,2024-12-26,262.54,Paid,2025-01-23
39,54,2024-12-26,287.35,Paid,2025-01-08
40,55,2024-12-24,138.98,Paid,2025-01-02
41,56,2024-12-26,203.68,Overdue,
42,58,2024-12-25,280.76,Overdue,
43,59,2024-12-26,304.51,Overdue,
44,61,2024-12-25,369.85,Paid,2025-01-09
45,62,2024-12-24,4841.26,Paid,2025-01-07
46,63,2024-12-26,264.47,Paid,2025-01-09
47,64,2024-12-26,1660.64,Paid,2025-01-01
48,65,2024-12-25,1730.95,Paid,2025-01-16
49,67,2024-12-26,2413.66,Overdue,
50,68,2024-12-25,242.85,Paid,2025-01-04
51,69,2024-12-26,3760.91,Paid,2025-01-07
52,70,2024-12-26,2372.27,Paid,2025-01-05
