job_id,date,technician_id,service_type,category,customer_id,status,first_time_fix,duration_minutes,revenue,cost
1,2024-12-22,15,Heat Pump Service,HVAC,24,Cancelled,0,66,0.0,0.0
2,2024-12-22,21,Heat Pump Service,HVAC,593,Completed,1,74,266.37,124.01
3,2024-12-22,11,AC Repair,HVAC,52,Rescheduled,0,94,0.0,0.0
4,2024-12-22,24,Furnace Installation,HVAC,425,Completed,1,289,4109.81,3236.29
5,2024-12-22,20,Drain Cleaning,Plumbing,366,Cancelled,0,61,0.0,0.0
6,2024-12-22,9,Outlet & Wiring,Electrical,144,Rescheduled,0,82,0.0,0.0
7,2024-12-22,22,Leak Detection,Plumbing,482,Completed,1,91,234.56,112.64
8,2024-12-22,2,Heat Pump Service,HVAC,319,Completed,1,95,225.54,144.25
9,2024-12-22,12,Heat Pump Service,HVAC,349,Completed,1,88,244.09,160.76
10,2024-12-22,21,Leak Detection,Plumbing,242,Completed,0,89,215.94,111.05
11,2024-12-22,17,Thermostat Install,HVAC,29,Completed,1,69,291.05,179.76
12,2024-12-22,9,Leak Detection,Plumbing,376,Completed,0,80,211.09,89.67
13,2024-12-22,9,Water Heater Install,Plumbing,371,Cancelled,0,201,0.0,0.0
14,2024-12-22,13,AC Repair,HVAC,204,Completed,1,84,271.56,155.84
15,2024-12-22,8,Water Heater Repair,Plumbing,585,Completed,1,115,325.15,205.54
16,2024-12-22,11,Panel Upgrade,Electrical,125,Rescheduled,0,224,0.0,0.0
17,2024-12-22,17,Outlet & Wiring,Electrical,141,Completed,1,62,175.92,99.61
18,2024-12-23,24,Heat Pump Service,HVAC,166,Completed,1,90,249.39,161.02
19,2024-12-23,18,Preventive Maintenance,HVAC,209,Completed,0,54,145.82,77.49
20,2024-12-23,1,AC Repair,HVAC,162,Completed,1,66,307.55,158.09
21,2024-12-23,16,Heat Pump Service,HVAC,182,Completed,1,114,273.09,142.93
22,2024-12-23,14,Heat Pump Service,HVAC,538,Completed,1,80,271.92,129.37
23,2024-12-23,7,Furnace Installation,HVAC,199,Completed,0,324,4382.33,3124.5
24,2024-12-23,1,Water Heater Repair,Plumbing,75,Cancelled,0,68,0.0,0.0
25,2024-12-23,1,Panel Upgrade,Electrical,10,Cancelled,0,201,0.0,0.0
26,2024-12-23,4,Furnace Repair,HVAC,150,Completed,1,118,296.11,184.89
27,2024-12-23,22,Drain Cleaning,Plumbing,178,Completed,1,69,217.72,87.3
28,2024-12-23,10,Water Heater Install,Plumbing,222,Rescheduled,0,233,0.0,0.0
29,2024-12-23,17,Furnace Repair,HVAC,232,Completed,1,112,334.73,184.87
30,2024-12-23,2,Drain Cleaning,Plumbing,129,Rescheduled,0,71,0.0,0.0
31,2024-12-23,14,Outlet & Wiring,Electrical,584,Completed,1,70,202.25,105.42
32,2024-12-23,6,Heat Pump Service,HVAC,299,Completed,0,77,253.65,120.73
