review_id,job_id,date,rating,comment
1,4,2024-12-24,5,"Excellent service, on time and professional."
2,8,2024-12-26,2,Had to call back for a second visit.
3,9,2024-12-25,5,Technician fixed it fast and explained everything.
4,11,2024-12-25,3,"Okay service, communication could improve."
5,14,2024-12-24,2,Had to call back for a second visit.
6,18,2024-12-27,4,"Solid service, fair price."
7,26,2024-12-27,5,Could not be happier. Highly recommend.
8,27,2024-12-26,5,Technician fixed it fast and explained everything.
9,31,2024-12-26,1,Disappointed with the turnaround.
10,35,2024-12-24,5,"Excellent service, on time and professional."
11,38,2024-12-25,4,Happy with the repair overall.
12,41,2024-12-27,4,"Solid service, fair price."
13,46,2024-12-26,4,"Good work, arrived a little late but solved the issue."
14,48,2024-12-30,1,Disappointed with the turnaround.
15,50,2024-12-26,4,Happy with the repair overall.
16,53,2024-12-28,5,Could not be happier. Highly recommend.
17,54,2024-12-28,5,"Excellent service, on time and professional."
18,56,2024-12-27,5,"Excellent service, on time and professional."
19,63,2024-12-25,4,"Good work, arrived a little late but solved the issue."
20,67,2024-12-27,1,Would not book again.
21,73,2024-12-28,4,"Solid service, fair price."
22,78,2024-12-27,2,Slow to schedule.
23,79,2024-12-27,5,"Excellent service, on time and professional."
24,84,2024-12-31,5,Could not be happier. Highly recommend.
25,87,2024-12-27,5,Could not be happier. Highly recommend.
26,91,2024-12-28,5,Could not be happier. Highly recommend.
27,92,2024-12-31,5,Technician fixed it fast and explained everything.
28,94,2024-12-29,4,Happy with the repair overall.
29,95,2024-12-26,5,"Excellent service, on time and professional."
30,96,2025-01-01,4,"Good work, arrived a little late but solved the issue."
31,98,2024-12-26,5,Could not be happier. Highly recommend.
32,101,2024-12-28,2,Pricing was higher than quoted.
33,102,2024-12-29,4,"Good work, arrived a little late but solved the issue."
34,103,2024-12-29,4,"Solid service, fair price."
35,113,2024-12-27,5,Technician fixed it fast and explained everything.
36,118,2024-12-28,4,"Good work, arrived a little late but solved the issue."
37,119,2024-12-31,2,Slow to schedule.
38,127,2024-12-31,5,Could not be happier. Highly recommend.
39,129,2024-12-31,3,Average experience.
40,135,2024-12-30,5,Could not be happier. Highly recommend.
41,138,2024-12-29,5,"Excellent service, on time and professional."
42,139,2025-01-01,5,Technician fixed it fast and explained everything.
43,140,2024-12-31,4,"Solid service, fair price."
44,148,2024-12-30,4,"Good work, arrived a little late but solved the issue."
45,149,2024-12-28,4,"Good work, arrived a little late but solved the issue."
