call_id,date,customer_id,direction,outcome,duration_seconds
1,2024-12-22,6,Outbound,Booked,200
2,2024-12-22,59,Inbound,Booked,195
3,2024-12-22,154,Outbound,Information,342
4,2024-12-22,202,Inbound,Information,269
5,2024-12-22,425,Outbound,Booked,310
6,2024-12-22,413,Inbound,Information,241
7,2024-12-22,392,Inbound,Information,20
8,2024-12-22,295,Inbound,Booked,216
9,2024-12-22,157,Outbound,Information,189
10,2024-12-22,507,Inbound,Booked,212
11,2024-12-22,304,Outbound,Booked,199
12,2024-12-22,81,Inbound,Booked,220
13,2024-12-22,531,Inbound,Booked,187
14,2024-12-22,352,Outbound,Information,177
15,2024-12-22,391,Inbound,Booked,48
16,2024-12-22,402,Inbound,Booked,265
17,2024-12-22,159,Outbound,Information,139
18,2024-12-22,352,Inbound,Missed,135
19,2024-12-22,283,Outbound,Booked,198
20,2024-12-22,401,Outbound,Missed,273
21,2024-12-22,428,Inbound,Missed,167
22,2024-12-22,30,Outbound,Booked,121
23,2024-12-22,491,Inbound,Booked,418
24,2024-12-22,551,Inbound,Booked,85
25,2024-12-22,119,Inbound,Information,197
26,2024-12-22,400,Inbound,Booked,314
27,2024-12-22,191,Inbound,Booked,70
28,2024-12-22,262,Outbound,Booked,166
29,2024-12-22,191,Inbound,Booked,216
30,2024-12-23,37,Outbound,Booked,49
31,2024-12-23,460,Inbound,Booked,259
32,2024-12-23,64,Inbound,Missed,259
33,2024-12-23,242,Inbound,Booked,325
34,2024-12-23,479,Inbound,Booked,321
35,2024-12-23,35,Inbound,Information,253
36,2024-12-23,56,Inbound,Information,212
37,2024-12-23,444,Inbound,Booked,268
38,2024-12-23,211,Outbound,Information,374
39,2024-12-23,526,Inbound,Booked,65
40,2024-12-23,567,Inbound,Booked,233
41,2024-12-23,318,Inbound,Information,165
42,2024-12-23,436,Outbound,Booked,309
43,2024-12-23,5,Inbound,Booked,199
44,2024-12-23,92,Outbound,Booked,247
45,2024-12-23,336,Inbound,Missed,249
46,2024-12-23,312,Outbound,Information,243
47,2024-12-23,460,Inbound,Booked,156
48,2024-12-23,397,Inbound,Booked,428
49,2024-12-23,291,Inbound,Booked,365
50,2024-12-23,475,Inbound,Information,331
51,2024-12-23,301,Inbound,Information,265
52,2024-12-23,443,Inbound,Booked,400
53,2024-12-23,216,Inbound,Booked,330
54,2024-12-23,338,Outbound,Booked,151
55,2024-12-23,294,Inbound,Booked,363
56,2024-12-23,452,Outbound,Information,173
57,2024-12-23,242,Inbound,Missed,306
58,2024-12-23,30,Inbound,Information,230
59,2024-12-23,483,Outbound,Information,259
60,2024-12-23,7,Inbound,Information,201
61,2024-12-23,569,Outbound,Information,152
62,2024-12-23,160,Inbound,Missed,261
63,2024-12-23,540,Outbound,Information,326
64,2024-12-23,8,Inbound,Information,32
65,2024-12-23,507,Inbound,Booked,199
66,2024-12-23,297,Inbound,Booked,175
67,2024-12-23,453,Outbound,Booked,165
68,2024-12-23,93,Outbound,Information,279
69,2024-12-23,409,Inbound,Missed,255
70,2024-12-23,573,Inbound,Booked,284
71,2024-12-23,333,Inbound,Information,308
72,2024-12-23,335,Inbound,Booked,273
73,2024-12-24,513,Inbound,Information,277
74,2024-12-24,206,Inbound,Missed,123
75,2024-12-24,324,Inbound,Booked,93
76,2024-12-24,573,Inbound,Booked,290
77,2024-12-24,595,Inbound,Information,248
78,2024-12-24,137,Inbound,Information,158
79,2024-12-24,470,Inbound,Missed,274
80,2024-12-24,26,Inbound,Missed,275
81,2024-12-24,123,Inbound,Missed,310
82,2024-12-24,453,Inbound,Booked,237
83,2024-12-24,416,Inbound,Booked,217
84,2024-12-24,477,Outbound,Booked,174
85,2024-12-24,125,Inbound,Information,241
86,2024-12-24,265,Outbound,Booked,256
87,2024-12-24,74,Outbound,Information,164
88,2024-12-24,377,Outbound,Information,261
89,2024-12-24,256,Inbound,Missed,234
90,2024-12-24,275,Inbound,Missed,42
91,2024-12-24,9,Inbound,Booked,200
92,2024-12-24,8,Inbound,Missed,76
93,2024-12-24,162,Inbound,Booked,269
94,2024-12-24,504,Inbound,Missed,309
95,2024-12-24,508,Inbound,Information,371
96,2024-12-24,20,Inbound,Information,171
97,2024-12-24,142,Inbound,Missed,211
98,2024-12-24,508,Inbound,Booked,217
99,2024-12-24,497,Outbound,Booked,198
100,2024-12-24,477,Inbound,Information,215
101,2024-12-24,229,Inbound,Booked,261
102,2024-12-24,221,Inbound,Information,192
103,2024-12-24,41,Inbound,Booked,259
104,2024-12-24,303,Inbound,Information,130
105,2024-12-24,431,Inbound,Booked,214
106,2024-12-24,97,Outbound,Missed,321
107,2024-12-24,548,Outbound,Information,248
108,2024-12-24,274,Outbound,Booked,266
109,2024-12-24,467,Inbound,Booked,162
110,2024-12-24,317,Inbound,Booked,245
111,2024-12-24,384,Inbound,Booked,182
112,2024-12-24,281,Inbound,Booked,104
113,2024-12-24,169,Inbound,Booked,200
114,2024-12-24,449,Inbound,Booked,110
115,2024-12-24,533,Inbound,Booked,254
116,2024-12-24,57,Inbound,Information,328
117,2024-12-24,424,Inbound,Information,234
118,2024-12-24,272,Inbound,Information,20
119,2024-12-24,553,Inbound,Booked,252
120,2024-12-24,64,Outbound,Booked,159
121,2024-12-24,519,Inbound,Booked,293
122,2024-12-24,470,Inbound,Booked,112
123,2024-12-24,381,Inbound,Booked,200
124,2024-12-24,539,Inbound,Booked,392
125,2024-12-24,231,Inbound,Booked,85
126,2024-12-24,346,Inbound,Information,216
127,2024-12-25,242,Inbound,Information,20
128,2024-12-25,122,Inbound,Booked,322
129,2024-12-25,193,Inbound,Missed,296
130,2024-12-25,295,Outbound,Information,297
131,2024-12-25,7,Inbound,Information,53
132,2024-12-25,40,Inbound,Information,198
133,2024-12-25,66,Inbound,Booked,222
134,2024-12-25,178,Inbound,Information,295
135,2024-12-25,556,Inbound,Missed,348
136,2024-12-25,316,Outbound,Information,299
137,2024-12-25,273,Inbound,Booked,198
138,2024-12-25,582,Inbound,Information,277
139,2024-12-25,76,Inbound,Information,266
140,2024-12-25,312,Inbound,Booked,135
